IRI,name,label_en,label_en2de
http://purl.obolibrary.org/obo/DOID_0080395,DOID_0080395,orofacial cleft 1,orofaziale Spaltung 1
http://purl.obolibrary.org/obo/DOID_0080408,DOID_0080408,orofacial cleft 15,orofaziale Spaltung 15
http://purl.obolibrary.org/obo/DOID_0080593,DOID_0080593,orofacial cleft 6,orofaziale Spaltung 6
http://purl.obolibrary.org/obo/DOID_674,DOID_674,cleft palate,Gaumenspalte
http://purl.obolibrary.org/obo/DOID_0111706,DOID_0111706,oblique facial clefting 1,schräge Gesichtsspalte 1
http://purl.obolibrary.org/obo/DOID_0080406,DOID_0080406,orofacial cleft 13,orofaziale Spaltung 13
http://purl.obolibrary.org/obo/DOID_0080397,DOID_0080397,orofacial cleft 3,orofaziale Spaltung 3
http://purl.obolibrary.org/obo/DOID_0060613,DOID_0060613,X-linked cleft palate with or without ankyloglossia,X-chromosomale Gaumenspalte mit oder ohne Ankyloglossie
http://purl.obolibrary.org/obo/DOID_0110214,DOID_0110214,cleft soft palate,Weichgaumenspalte
http://purl.obolibrary.org/obo/DOID_0080402,DOID_0080402,orofacial cleft 9,orofaziale Spaltung 9
http://purl.obolibrary.org/obo/DOID_0080398,DOID_0080398,orofacial cleft 4,orofaziale Spaltung 4
http://purl.obolibrary.org/obo/DOID_0080407,DOID_0080407,orofacial cleft 14,orofaziale Spaltung 14
http://purl.obolibrary.org/obo/DOID_0080399,DOID_0080399,orofacial cleft 5,orofaziale Spaltung 5
http://purl.obolibrary.org/obo/DOID_0050567,DOID_0050567,orofacial cleft,orofaziale Spaltung
http://purl.obolibrary.org/obo/DOID_0080403,DOID_0080403,orofacial cleft 10,orofaziale Spaltung 10
http://purl.obolibrary.org/obo/DOID_9296,DOID_9296,cleft lip,Lippenspalte
http://purl.obolibrary.org/obo/DOID_0080405,DOID_0080405,orofacial cleft 12,orofaziale Spaltung 12
http://purl.obolibrary.org/obo/DOID_0080404,DOID_0080404,orofacial cleft 11,orofaziale Spaltung 11
http://purl.obolibrary.org/obo/DOID_0080400,DOID_0080400,orofacial cleft 7,orofaziale Spaltung 7
http://purl.obolibrary.org/obo/DOID_0080401,DOID_0080401,orofacial cleft 8,orofaziale Spaltung 8
http://purl.obolibrary.org/obo/DOID_0110213,DOID_0110213,isolated cleft palate,isolierte Gaumenspalte
http://purl.obolibrary.org/obo/DOID_0080396,DOID_0080396,orofacial cleft 2,orofaziale Spaltung 2
