IRI,name,label_en,label_en2fr
http://purl.obolibrary.org/obo/DOID_0080398,DOID_0080398,orofacial cleft 4,fente orofaciale 4
http://purl.obolibrary.org/obo/DOID_0080399,DOID_0080399,orofacial cleft 5,fente orofaciale 5
http://purl.obolibrary.org/obo/DOID_0060613,DOID_0060613,X-linked cleft palate with or without ankyloglossia,Fente palatine liée à l'X avec ou sans ankyloglossie
http://purl.obolibrary.org/obo/DOID_0080405,DOID_0080405,orofacial cleft 12,fente orofaciale 12
http://purl.obolibrary.org/obo/DOID_0080402,DOID_0080402,orofacial cleft 9,fente orofaciale 9
http://purl.obolibrary.org/obo/DOID_0080400,DOID_0080400,orofacial cleft 7,fente orofaciale 7
http://purl.obolibrary.org/obo/DOID_9296,DOID_9296,cleft lip,fente labiale
http://purl.obolibrary.org/obo/DOID_0111706,DOID_0111706,oblique facial clefting 1,fente faciale oblique 1
http://purl.obolibrary.org/obo/DOID_0080396,DOID_0080396,orofacial cleft 2,fente orofaciale 2
http://purl.obolibrary.org/obo/DOID_0110213,DOID_0110213,isolated cleft palate,fente palatine isolée
http://purl.obolibrary.org/obo/DOID_0080404,DOID_0080404,orofacial cleft 11,fente orofaciale 11
http://purl.obolibrary.org/obo/DOID_0080395,DOID_0080395,orofacial cleft 1,fente orofaciale 1
http://purl.obolibrary.org/obo/DOID_0080408,DOID_0080408,orofacial cleft 15,fente orofaciale 15
http://purl.obolibrary.org/obo/DOID_0080406,DOID_0080406,orofacial cleft 13,fente orofaciale 13
http://purl.obolibrary.org/obo/DOID_674,DOID_674,cleft palate,fente palatine
http://purl.obolibrary.org/obo/DOID_0080403,DOID_0080403,orofacial cleft 10,fente orofaciale 10
http://purl.obolibrary.org/obo/DOID_0080407,DOID_0080407,orofacial cleft 14,fente orofaciale 14
http://purl.obolibrary.org/obo/DOID_0110214,DOID_0110214,cleft soft palate,fente palatine
http://purl.obolibrary.org/obo/DOID_0080593,DOID_0080593,orofacial cleft 6,fente orofaciale 6
http://purl.obolibrary.org/obo/DOID_0080401,DOID_0080401,orofacial cleft 8,fente orofaciale 8
http://purl.obolibrary.org/obo/DOID_0080397,DOID_0080397,orofacial cleft 3,fente orofaciale 3
http://purl.obolibrary.org/obo/DOID_0050567,DOID_0050567,orofacial cleft,fente orofaciale
